username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
RonWyden;2016-11-07 17:21;1;11;Enjoyed catching up last night in Portland with Chad Brown & @TheSoulRiver . Honored to receive their 2016 CHANGE award. pic.twitter.com/1KJbKjdNXT;;@TheSoulRiver;;7.96E+17;https://twitter.com/RonWyden/status/795662402008137728;
KSLPDX;2016-11-07 17:18;2;3;1 million ballots have collected in Oregon with no lines, goon squads or trips to court #votebymail @ronwyden @senjeffmerkley @repblumenauer;;@ronwyden @senjeffmerkley @repblumenauer;#votebymail;7.96E+17;https://twitter.com/KSLPDX/status/795661776125726720;
CaptainBerz;2016-11-07 16:08;0;0;LIES These #Senators lie bout Gun Control to get votes! Vote NO on these Senators! @RonWyden @SenBrianSchatz @SenBlumenthal @Maggie_Hassan pic.twitter.com/eZIC8sMWMc;;@RonWyden @SenBrianSchatz @SenBlumenthal @Maggie_Hassan;#Senators;7.96E+17;https://twitter.com/CaptainBerz/status/795644221621497856;
RealShadowWarz;2016-11-07 15:35;0;0;Stop changing our clocks! @OregonGovBrown @RepBonamici @RonWyden @SenJeffMerkley https:// stopdst.com #stopDST;;@OregonGovBrown @RepBonamici @RonWyden @SenJeffMerkley;#stopDST;7.96E+17;https://twitter.com/RealShadowWarz/status/795635716008984577;
CocheseAlfred;2016-11-07 13:50;0;0;Let's hold insurance companies accountable the right way by making them pu... #RonWyden #quotes https:// openquotes.github.io/authors/ron-wy den-quotes/#f69ca486 …;;;#RonWyden #quotes #f69ca486;7.96E+17;https://twitter.com/CocheseAlfred/status/795609329017769984;
FaizaPatelBCJ;2016-11-07 02:52;0;1;@JJGass @davidakaye perhaps @RonWyden , maybe with feingold if he wins and some of the Rs who have supported surveillance reform;;@JJGass @davidakaye @RonWyden;;7.95E+17;https://twitter.com/FaizaPatelBCJ/status/795443676281446400;
palmquac;2016-11-07 01:46;2;3;Time for national vote by mail. Keep at it @RonWyden https:// twitter.com/saahil_desai/s tatus/795342933364973570 …;;@RonWyden;;7.95E+17;https://twitter.com/palmquac/status/795427278343716864;
PastenVanQ;2016-11-07 00:42;0;0;Like any business, the oil industry runs on the basic premise of supply an... #RonWyden #quotes https:// openquotes.github.io/authors/ron-wy den-quotes/#5c6abd2e …;;;#RonWyden #quotes #5c6abd2e;7.95E+17;https://twitter.com/PastenVanQ/status/795410988623335426;
cfclark;2016-11-06 23:36;2;1;Time to make vote-by-mail available nationwide and render this moot. Thanks to @RonWyden and others for working on this. https:// twitter.com/voxdotcom/stat us/795387805677588480 …;;@RonWyden;;7.95E+17;https://twitter.com/cfclark/status/795394401929285632;
Sarah__Reynolds;2016-11-06 07:38;2;0;Why @RonWyden 's Traitorous About Face on the #TPP ? http:// wp.me/p1Y6vQ-9S #TradeTreachery #StopTheTPP;;@RonWyden;#TPP #TradeTreachery #StopTheTPP;7.95E+17;https://twitter.com/Sarah__Reynolds/status/795153411759022080;
Addi_James;2016-11-06 07:33;1;1;@NerdyTraveler @RonWyden no voter intimidation, no long lines. Time to read up on issues. Everything Republicans do not want for voters!;;@NerdyTraveler @RonWyden;;7.95E+17;https://twitter.com/Addi_James/status/795152127685341186;
NerdyTraveler;2016-11-06 06:40;4;6;Just in case you hadn't noticed, @RonWyden (D-OR) is awesome. Oregon wins at voting, unless lines and disenfranchisement are your thing. https:// twitter.com/ronwyden/statu s/753618817457262592 …;;@RonWyden;;7.95E+17;https://twitter.com/NerdyTraveler/status/795138683313631233;
dupreeben;2016-11-06 05:46;0;3;Six years ago I helped direct @RonWyden to a re-election victory in an awful, awful year for Democrats. That was fun. I learned a lot.;;@RonWyden;;7.95E+17;https://twitter.com/dupreeben/status/795125092250308608;
ScousePower8;2016-11-06 03:44;0;1;@msjolene @RonWyden @SenJeffMerkley In my opinion, it should be a national holiday regardless, but universal vote by mail gets my vote, too.;;@msjolene @RonWyden @SenJeffMerkley;;7.95E+17;https://twitter.com/ScousePower8/status/795094560414121984;
ScousePower8;2016-11-06 03:23;0;5;. @RonWyden , @SenJeffMerkley Please make it your mission to make election day a national holiday.;;@RonWyden @SenJeffMerkley;;7.95E+17;https://twitter.com/ScousePower8/status/795089191893766144;
BenRosene;2016-11-06 02:03;0;1;. @RonWyden Voting for Hillary is cool too but way less exciting because it's the actual easiest decision of my life;;@RonWyden;;7.95E+17;https://twitter.com/BenRosene/status/795069023956267008;
hpux735;2016-11-06 00:04;0;1;Quite the contrary! Sen. @RonWyden is trying to bring mail-in voting to all. And, in Oregon, you have to OPT-OUT(!) of registering to vote. https:// twitter.com/obsoletedogma/ status/794962378714513409 …;;@RonWyden;;7.95E+17;https://twitter.com/hpux735/status/795039181953122304;
BenRosene;2016-11-05 22:57;0;2;This election has sucked but being able to vote for @RonWyden is certainly a bright patch;;@RonWyden;;7.95E+17;https://twitter.com/BenRosene/status/795022186696192000;
AwfulNormal;2016-11-05 22:50;0;0;If you have yet to vote in OR, please remember that @RonWyden spoke out against Superdelgates in '08 & voted against his constituents in '16;;@RonWyden;;7.95E+17;https://twitter.com/AwfulNormal/status/795020582165180416;
crystalfireburn;2016-11-05 20:24;1;1;@RonWyden You better explain fast ! https:// twitter.com/SarahW8723/sta tus/794884360365338624 …;;@RonWyden;;7.95E+17;https://twitter.com/crystalfireburn/status/794983772361850880;
ajohnsoncook;2016-11-05 19:39;0;1;@mathowie actually @RonWyden already did. @BlitzenTrapper @SenJeffMerkley https:// twitter.com/ronwyden/statu s/753618817457262592 …;;@mathowie @RonWyden @BlitzenTrapper @SenJeffMerkley;;7.95E+17;https://twitter.com/ajohnsoncook/status/794972534332657664;
babushka_tasi;2016-11-05 19:26;0;0;hopefully Oregonians #ChooseWisely and send @RonWyden packing for his support of #ClimateKiller #JobsKiller #TPP https:// twitter.com/stevebait/stat us/794722782164713472 …;;@RonWyden;#ChooseWisely #ClimateKiller #JobsKiller #TPP;7.95E+17;https://twitter.com/babushka_tasi/status/794969040057831424;
Ozetty;2016-11-05 18:59;0;0;@RonWyden You only have yourself to blame. Lawmakers, like you, write the tax code. #NeverHillary pic.twitter.com/rA9xUEMQsR;;@RonWyden;#NeverHillary;7.95E+17;https://twitter.com/Ozetty/status/794962247919484929;
BlueMoon7777;2016-11-05 18:35;1;2;@Drum747 @RonWyden @salesforce sure 's #NancyPelosi . #1 donor. Wiki or #PodestaEmails full of ref's to #salesforce ? https://www. opensecrets.org/politicians/co ntrib.php?cid=N00007360&cycle=2014 … pic.twitter.com/o8yufupGeY;;@Drum747 @RonWyden @salesforce;#NancyPelosi #1 #PodestaEmails #salesforce;7.95E+17;https://twitter.com/BlueMoon7777/status/794956200370720769;
0bservatorium;2016-11-05 18:18;0;0;@RonWyden @TheJusticeDept Please stop the @TSA 's continuous groping assault, and child molestation. #SaveOurChildren;;@RonWyden @TheJusticeDept @TSA;#SaveOurChildren;7.95E+17;https://twitter.com/0bservatorium/status/794951914328760320;
weneverlie;2016-11-05 17:16;0;0;@POTUS @MSNBC @Morning_Joe @HillaryClinton @SenJeffMerkley @RonWyden party befor country #Democrat https:// twitter.com/ObamaStrawman/ status/794902570808414209 …;;@POTUS @MSNBC @Morning_Joe @HillaryClinton @SenJeffMerkley @RonWyden;#Democrat;7.95E+17;https://twitter.com/weneverlie/status/794936485082337280;
mathowie;2016-11-05 16:23;0;0;@BlitzenTrapper hey @RonWyden and @SenJeffMerkley can you propose a bill to make this national?;;@BlitzenTrapper @RonWyden @SenJeffMerkley;;7.95E+17;https://twitter.com/mathowie/status/794923192137617409;
writingfreak123;2016-11-05 16:02;0;1;@RonWyden @MultCoLib What if we had libraries like this in our public schools? They aren't superfluous, they're essential.;;@RonWyden @MultCoLib;;7.95E+17;https://twitter.com/writingfreak123/status/794917744596557824;
Kal1_Furies;2016-11-05 14:51;0;0;did her vote not count? #SerenaShim #Justice4Serena @RepPeterDeFazio @RonWyden;;@RepPeterDeFazio @RonWyden;#SerenaShim #Justice4Serena;7.95E+17;https://twitter.com/Kal1_Furies/status/794899886609145856;
JanieceStaton;2016-11-05 08:45;0;0;#Oregon Politicians Attempting to Roll Back Hard-Fght Protections for #Salmon & #Floodplains http:// audubonportland.org/news/oregon-po liticians-attempting-to-roll-back-hard-fought-protections-for-salmon-and-floodplains … @RonWyden @ESHforOregon;;@RonWyden @ESHforOregon;#Oregon #Salmon #Floodplains;7.95E+17;https://twitter.com/JanieceStaton/status/794807911696318464;
weneverlie;2016-11-05 04:59;2;4;@HillaryClinton @SenJeffMerkley @RonWyden party before country right? https:// twitter.com/TCB_AK/status/ 794680318846341124 …;;@HillaryClinton @SenJeffMerkley @RonWyden;;7.95E+17;https://twitter.com/weneverlie/status/794751075450396673;
Newarkguy1973;2016-11-05 03:16;1;0;https://www. youtube.com/shared?ci=OO6p pQO0E3A … . @FrankieRusso1 . @JGo_2016 . @tedcruz . @RonWyden . @mike_pence . @mikey_tacovelli . @Newark_Police . @DallasPD;;@FrankieRusso1 @JGo_2016 @tedcruz @RonWyden @mike_pence @mikey_tacovelli @Newark_Police @DallasPD;;7.95E+17;https://twitter.com/Newarkguy1973/status/794725059575349248;
TopherReisner;2016-11-04 23:35;0;0;Sorry, but @RonWyden and @RepBlumenauer both support the #TPP and #HillaryClinton . I voted 3rd party. https:// twitter.com/RoseAnnDeMoro/ status/794654223778476032 …;;@RonWyden @RepBlumenauer;#TPP #HillaryClinton;7.95E+17;https://twitter.com/TopherReisner/status/794669426721161216;
PaperJhon;2016-11-04 22:58;0;1;With the loss of Free Choice Vouchers, hundreds of thousands of workers wi... #RonWyden #quotes https:// openquotes.github.io/authors/ron-wy den-quotes/#f9f0b8d4 …;;;#RonWyden #quotes #f9f0b8d4;7.95E+17;https://twitter.com/PaperJhon/status/794660050619002880;
MultCoLib;2016-11-04 22:15;7;22;Extremely honored to have Senator @RonWyden cast his ballot at Sellwood-Moreland Library today! Drop boxes are at all libraries til 8pm Tue. pic.twitter.com/RykRJInLlh;;@RonWyden;;7.95E+17;https://twitter.com/MultCoLib/status/794649214642978816;
RonWyden;2016-11-04 21:15;6;74;As the proud son of a librarian, I always enjoy visiting the @MultCoLib branch in Sellwood. pic.twitter.com/2EJjhFV89r;;@MultCoLib;;7.95E+17;https://twitter.com/RonWyden/status/794634278696992768;
BobMoss42;2016-11-04 20:51;1;1;Support for @MIHTC #affordablehousing growth @CohnReznick @RonWyden @HousingACTION @HousingAdvGroup https:// smartgrowthamerica.org/app/uploads/20 16/11/expanding-economic-recovery-to-all-americans-through-smarter-growth.pdf …;;@MIHTC @CohnReznick @RonWyden @HousingACTION @HousingAdvGroup;#affordablehousing;7.95E+17;https://twitter.com/BobMoss42/status/794628099593961473;
Scout66com;2016-11-04 20:06;0;0;HRC didn't keep her word to @RonWyden a trusted associate, WHY would she keep her word to deplorable Americans? https:// twitter.com/JordanChariton /status/794360977932292096 …;;@RonWyden;;7.95E+17;https://twitter.com/Scout66com/status/794616943785414657;
SniffOutStocks;2016-11-04 19:55;9;0;RT @GrassRootRevolt : @RonWyden Why are you , Obama, and Lynch protecting Hillary Clinton, she is a criminal! http:// ow.ly/wkFA305RE1y;;@GrassRootRevolt @RonWyden;;7.95E+17;https://twitter.com/SniffOutStocks/status/794613982967504896;
EarlPdxPearl;2016-11-04 19:50;1;0;RT @GrassRootRevolt : @RonWyden Why are you , Obama, and Lynch protecting Hillary Clinton, she is a criminal! http:// ow.ly/wkFA305RE1y;;@GrassRootRevolt @RonWyden;;7.95E+17;https://twitter.com/EarlPdxPearl/status/794612720251322368;
BellofioreMark;2016-11-04 19:33;0;0;Let's hold insurance companies accountable the right way by making them pu... #RonWyden #quotes https:// openquotes.github.io/authors/ron-wy den-quotes/#f69ca486 …;;;#RonWyden #quotes #f69ca486;7.95E+17;https://twitter.com/BellofioreMark/status/794608433592958977;
AltAnalyst;2016-11-04 19:02;0;0;! @jaketapper @RonPaul @Judgenap @RandPaul @SenMikeLee @SenTedCruz @justinamash @RepThomasMassie @tedlieu @RonWyden https:// twitter.com/hrtablaze/stat us/794474390175875072 …;;@jaketapper @RonPaul @Judgenap @RandPaul @SenMikeLee @SenTedCruz @justinamash @RepThomasMassie @tedlieu @RonWyden;;7.95E+17;https://twitter.com/AltAnalyst/status/794600811582124032;
RonWyden;2016-11-04 17:39;8;12;"Thanks #10branch for inviting me to the inaugural Think Outside The Box"" conference on how to grow Oregon's' innovation economy. pic.twitter.com/ORA9iF1gsu""";;;#10branch;7.95E+17;https://twitter.com/RonWyden/status/794579931166478338;
kuffodog;2016-11-04 17:38;0;0;@RonWyden You need to prosecute and incarcerate for torture, persecution & murder of Americans. Not just oversee. http://www. mklinksandcomments.info/blog/?p=178;;@RonWyden;;7.95E+17;https://twitter.com/kuffodog/status/794579587137032192;
StacyCowley;2016-11-04 16:52;3;1;Wells Fargo left black marks on some ex-employees' records - @SenWarren , @SenatorMenendez & @RonWyden got data: http://www. nytimes.com/2016/11/04/bus iness/dealbook/wells-fargo-faces-scrutiny-for-black-marks-on-ex-employee-files.html …;;@SenWarren @SenatorMenendez @RonWyden;;7.95E+17;https://twitter.com/StacyCowley/status/794568006529650688;
Backcountry_H_A;2016-11-04 16:03;3;4;For more on the work that's being done to protect this unique landscape @TroutUnlimited @pacificrivers @RonWyden http://www. backcountryhunters.org/infographic_fr ank_moore_steelhead_sanctuary … pic.twitter.com/3rV5fNzL1n;;@TroutUnlimited @pacificrivers @RonWyden;;7.95E+17;https://twitter.com/Backcountry_H_A/status/794555655088533505;
freepress;2016-11-04 15:41;9;7;Senator @RonWyden warns that the new AT&T merger could be a significant threat to net neutrality: http:// ow.ly/AB0W305R8vm #NoMoreMergers;;@RonWyden;#NoMoreMergers;7.95E+17;https://twitter.com/freepress/status/794550088840450049;
timbirdtalks;2016-11-04 14:34;0;0;does @RonWyden represent your Oregonian voice? #wydenout #wikileaks #demexit https:// twitter.com/JordanChariton /status/794360977932292096 …;;@RonWyden;#wydenout #wikileaks #demexit;7.95E+17;https://twitter.com/timbirdtalks/status/794533344251822080;
DanielLibit;2016-11-04 13:29;0;0;cc: @RonWyden https:// twitter.com/DanielLibit/st atus/794516275187843073 …;;@RonWyden;;7.95E+17;https://twitter.com/DanielLibit/status/794516810234204160;
GoFishLynn;2016-11-04 13:22;0;1;@Berzirk ?? Nothing changed for Hillary. But Comey is probably going to be fired. FBI shouldn't play politics. @RonWyden @FBI;;@Berzirk @RonWyden @FBI;;7.95E+17;https://twitter.com/GoFishLynn/status/794515173121748992;
JigarShahDC;2016-11-04 12:15;0;1;@chrisvred absolutely but while I disagree with @RonWyden on many subjects, I find his passion on these subjects spot on;;@chrisvred @RonWyden;;7.94E+17;https://twitter.com/JigarShahDC/status/794498375886503936;
k_chappelle;2016-11-04 08:47;0;3;@MrPlutocracy @JordanChariton @wikileaks @HillaryClinton @RonWyden This Oregonian is not. First time I'm not voting for him.;;@MrPlutocracy @JordanChariton @wikileaks @HillaryClinton @RonWyden;;7.94E+17;https://twitter.com/k_chappelle/status/794446012395859969;
tina_leeds;2016-11-04 07:55;0;0;"@RonWyden @FBI Trump gave $1M Vet"" Donation to FBI/Military Law fund... Guiliano's Org!! Guilliano told FoxNews 2 days before Comey Ltr...""";;@RonWyden @FBI;;7.94E+17;https://twitter.com/tina_leeds/status/794432968311738368;
tina_leeds;2016-11-04 07:54;0;0;@RonWyden @FBI Isn't this Rogue NY FBI Cell same ones that just got kicked off Eric Gardner case for NOT doing job?? Trump gave $1M to FBI..;;@RonWyden @FBI;;7.94E+17;https://twitter.com/tina_leeds/status/794432575213187072;
ThatWomanThing;2016-11-04 06:52;0;0;Thanks @RonWyden Ron For for standing with the people. @SenSanders @SenWarren so much work to do. #DoYourJob when @GOP back ( if any) https:// twitter.com/RonWyden/statu s/794273622449913861 …;;@RonWyden @SenSanders @SenWarren @GOP;#DoYourJob;7.94E+17;https://twitter.com/ThatWomanThing/status/794417114819891200;
Punctuarian;2016-11-04 06:12;0;1;@RonWyden @joanwalsh @FBI And why we need about 90 percent fewer white men in positions of power.;;@RonWyden @joanwalsh @FBI;;7.94E+17;https://twitter.com/Punctuarian/status/794406935718047744;
Alaskan_Gypsy;2016-11-04 06:00;0;0;@RonWyden is in collusion with Hillary! Oregonions must vote him OUT before WE catch HIS virus! So sick of Dems! https:// twitter.com/LatestAnonNews /status/794398135049023488 …;;@RonWyden;;7.94E+17;https://twitter.com/Alaskan_Gypsy/status/794403899687858176;
Alaskan_Gypsy;2016-11-04 05:57;0;0;"@RonWyden Just as corrupt as she is! Perhaps it is you, and those of your ilk"" who are ""a virus that's spreading"" https:// twitter.com/LatestAnonNews /status/794398135049023488 …""";;@RonWyden;;7.94E+17;https://twitter.com/Alaskan_Gypsy/status/794403240200650752;
Bill_Adams;2016-11-04 05:51;0;1;@justcallme98 @shanselman @NYDailyNews yet another reason for vote by mail @RonWyden;;@justcallme98 @shanselman @NYDailyNews @RonWyden;;7.94E+17;https://twitter.com/Bill_Adams/status/794401591721803776;
texdakota;2016-11-04 05:18;0;1;@RonWyden @joanwalsh @FBI And this Oregonian wants to know what congress is doing about this situation. Out of control FBI bad for USA.;;@RonWyden @joanwalsh @FBI;;7.94E+17;https://twitter.com/texdakota/status/794393453916368896;
lariti2;2016-11-04 05:06;0;1;Great statment from @RonWyden on FBI & power overreach. #ComeyResign #ResignComey https:// twitter.com/RonWyden/statu s/794288355546644481 …;;@RonWyden;#ComeyResign #ResignComey;7.94E+17;https://twitter.com/lariti2/status/794390278304133120;
OneTwoDoseyDoe;2016-11-04 05:00;0;1;@joanwalsh @RonWyden @FBI fire them all Hatch Act they all sign it once yearly;;@joanwalsh @RonWyden @FBI;;7.94E+17;https://twitter.com/OneTwoDoseyDoe/status/794388786004246528;
KATHYMAYEDA;2016-11-04 04:52;0;1;@RonWyden @joanwalsh @FBI #investigate the hell out of them.;;@RonWyden @joanwalsh @FBI;#investigate;7.94E+17;https://twitter.com/KATHYMAYEDA/status/794386760880898048;
max_dobberstein;2016-11-04 04:45;0;2;@RonWyden Will you be my Senator?;;@RonWyden;;7.94E+17;https://twitter.com/max_dobberstein/status/794385105661763586;
brown44531;2016-11-04 04:17;1;2;@RonWyden @joanwalsh @FBI @NewYorkFBI I wonder if this damage can ever b repaired.To have a corrupt cell in an agency this powerful is scary;;@RonWyden @joanwalsh @FBI @NewYorkFBI;;7.94E+17;https://twitter.com/brown44531/status/794377983670657027;
HillDamon2015;2016-11-04 04:12;0;0;Right now, there are a limited number of customers for Canadian oil. Due t... #RonWyden #quotes https:// openquotes.github.io/authors/ron-wy den-quotes/#24a450c4 …;;;#RonWyden #quotes #24a450c4;7.94E+17;https://twitter.com/HillDamon2015/status/794376659520655360;
MercerisDA;2016-11-04 04:11;0;1;@RonWyden @joanwalsh @FBI And it illustrates the behaviour the FBI has engaged in, long before even Dr. King. All involved in leaks must go.;;@RonWyden @joanwalsh @FBI;;7.94E+17;https://twitter.com/MercerisDA/status/794376476271460352;
ConsultantsUnlt;2016-11-04 04:07;0;0;RT @RonWyden The @FBI ’s behavior shows why Americans demand vigorous oversight of government intelligence & surveillance >A new #Church Com?;;@RonWyden @FBI;#Church;7.94E+17;https://twitter.com/ConsultantsUnlt/status/794375392496795648;
DrRhymes;2016-11-04 04:04;0;0;@RonWyden @joanwalsh @FBI great respect 4 U Sen. - FBI behavior includes INITIAL collusion with White House on HRC's behalf. #ItAllStinks . pic.twitter.com/OcKwFcNd33;;@RonWyden @joanwalsh @FBI;#ItAllStinks;7.94E+17;https://twitter.com/DrRhymes/status/794374673710587904;
gaiadaize;2016-11-04 04:01;0;1;@RonWyden @joanwalsh @FBI Clearly it can't be done by corrupt #GOP congress, which has colluded w/ corrupt #FBI . FREAKINGLY AWFUL ...;;@RonWyden @joanwalsh @FBI;#GOP #FBI;7.94E+17;https://twitter.com/gaiadaize/status/794373893746085888;
Carrob1100Todd;2016-11-04 03:59;0;1;@RonWyden @JeffersonObama @FBI professional government employees. Partisan feelings do not belong in their duties and actions. 2/2;;@RonWyden @JeffersonObama @FBI;;7.94E+17;https://twitter.com/Carrob1100Todd/status/794373450542370816;
Carrob1100Todd;2016-11-04 03:58;0;1;@RonWyden @JeffersonObama @FBI I agree. The stories and leaks coming out of NY FBI are scary and make me angry. They need to be profes 1/2;;@RonWyden @JeffersonObama @FBI;;7.94E+17;https://twitter.com/Carrob1100Todd/status/794373147428433920;
LABPolitics;2016-11-04 03:57;0;0;We need more people like @RonWyden in the Senate. https:// twitter.com/ronwyden/statu s/794288657649795072 …;;@RonWyden;;7.94E+17;https://twitter.com/LABPolitics/status/794373013038768128;
lovelyurhere;2016-11-04 03:57;0;1;@RonWyden @joanwalsh @FBI @TheJusticeDept @aclu @pbs @amnesty @csmonitor if you investigate people on innuendo books?? This is scary!;;@RonWyden @joanwalsh @FBI @TheJusticeDept @aclu @pbs @amnesty @csmonitor;;7.94E+17;https://twitter.com/lovelyurhere/status/794372902204358663;
TimDNiles;2016-11-04 03:54;1;0;@RonWyden @joanwalsh @FBI It's the media that reports the leaks. They aren't being forced to. They are colluding w/ the FBI;;@RonWyden @joanwalsh @FBI;;7.94E+17;https://twitter.com/TimDNiles/status/794372166804344832;
MrPlutocracy;2016-11-04 03:54;1;10;@JordanChariton @wikileaks @HillaryClinton Wyden as in @RonWyden ? Oregonians will not be pleased.;;@JordanChariton @wikileaks @HillaryClinton @RonWyden;;7.94E+17;https://twitter.com/MrPlutocracy/status/794372126425772032;
Ladyblueclr;2016-11-04 03:51;0;1;@RonWyden @joanwalsh @FBI totally agree, except that Chaffetz is in charge of oversight. That has to change!;;@RonWyden @joanwalsh @FBI;;7.94E+17;https://twitter.com/Ladyblueclr/status/794371527638585344;
geox571_robert;2016-11-04 03:50;0;0;@RonWyden @FBI But oversight is run by a republican. Sorry but no reason for confidence in that.;;@RonWyden @FBI;;7.94E+17;https://twitter.com/geox571_robert/status/794371260260061184;
KimAvosim;2016-11-04 03:38;0;1;@simonegirl06 @RonWyden @FBI Threats from russian trolls will not work. American will beat you because we are much smarter than you.;;@simonegirl06 @RonWyden @FBI;;7.94E+17;https://twitter.com/KimAvosim/status/794368299286958080;
KimAvosim;2016-11-04 03:37;0;1;@RonWyden @JeffersonObama @FBI After dems take control of Senate, we expect hearings hearings and more hearings, sir.;;@RonWyden @JeffersonObama @FBI;;7.94E+17;https://twitter.com/KimAvosim/status/794368053156818944;
